frame_detected_secs,detected_flag,days,hours,minutes,seconds,formatted_time,dd_hh_mm_ss
0 days 00:01:28,0,0,0,1,28,0 days 0 hours 1 mins 28 secs,00:00:01:28
0 days 00:01:29,0,0,0,1,29,0 days 0 hours 1 mins 29 secs,00:00:01:29
0 days 00:01:30,0,0,0,1,30,0 days 0 hours 1 mins 30 secs,00:00:01:30
0 days 00:01:31,1,0,0,1,31,0 days 0 hours 1 mins 31 secs,00:00:01:31
0 days 00:01:32,1,0,0,1,32,0 days 0 hours 1 mins 32 secs,00:00:01:32
0 days 00:01:33,0,0,0,1,33,0 days 0 hours 1 mins 33 secs,00:00:01:33
0 days 00:01:34,0,0,0,1,34,0 days 0 hours 1 mins 34 secs,00:00:01:34
0 days 00:01:35,1,0,0,1,35,0 days 0 hours 1 mins 35 secs,00:00:01:35
0 days 00:01:36,0,0,0,1,36,0 days 0 hours 1 mins 36 secs,00:00:01:36
0 days 00:01:37,0,0,0,1,37,0 days 0 hours 1 mins 37 secs,00:00:01:37
0 days 00:01:38,0,0,0,1,38,0 days 0 hours 1 mins 38 secs,00:00:01:38
0 days 00:01:39,0,0,0,1,39,0 days 0 hours 1 mins 39 secs,00:00:01:39
0 days 00:01:40,0,0,0,1,40,0 days 0 hours 1 mins 40 secs,00:00:01:40
0 days 00:01:41,1,0,0,1,41,0 days 0 hours 1 mins 41 secs,00:00:01:41
0 days 00:01:42,1,0,0,1,42,0 days 0 hours 1 mins 42 secs,00:00:01:42
0 days 00:01:43,0,0,0,1,43,0 days 0 hours 1 mins 43 secs,00:00:01:43
0 days 00:01:44,1,0,0,1,44,0 days 0 hours 1 mins 44 secs,00:00:01:44
0 days 00:01:45,1,0,0,1,45,0 days 0 hours 1 mins 45 secs,00:00:01:45
0 days 00:01:46,1,0,0,1,46,0 days 0 hours 1 mins 46 secs,00:00:01:46
0 days 00:01:47,0,0,0,1,47,0 days 0 hours 1 mins 47 secs,00:00:01:47
0 days 00:01:48,0,0,0,1,48,0 days 0 hours 1 mins 48 secs,00:00:01:48
0 days 00:01:49,0,0,0,1,49,0 days 0 hours 1 mins 49 secs,00:00:01:49
0 days 00:01:50,0,0,0,1,50,0 days 0 hours 1 mins 50 secs,00:00:01:50
0 days 00:01:51,0,0,0,1,51,0 days 0 hours 1 mins 51 secs,00:00:01:51
0 days 00:01:52,0,0,0,1,52,0 days 0 hours 1 mins 52 secs,00:00:01:52
0 days 00:01:53,1,0,0,1,53,0 days 0 hours 1 mins 53 secs,00:00:01:53
0 days 00:01:54,0,0,0,1,54,0 days 0 hours 1 mins 54 secs,00:00:01:54
0 days 00:01:55,0,0,0,1,55,0 days 0 hours 1 mins 55 secs,00:00:01:55
0 days 00:01:56,0,0,0,1,56,0 days 0 hours 1 mins 56 secs,00:00:01:56
0 days 00:01:57,1,0,0,1,57,0 days 0 hours 1 mins 57 secs,00:00:01:57
0 days 00:01:58,1,0,0,1,58,0 days 0 hours 1 mins 58 secs,00:00:01:58
0 days 00:01:59,1,0,0,1,59,0 days 0 hours 1 mins 59 secs,00:00:01:59
0 days 00:02:00,0,0,0,2,0,0 days 0 hours 2 mins 0 secs,00:00:02:00
0 days 00:02:01,1,0,0,2,1,0 days 0 hours 2 mins 1 secs,00:00:02:01
0 days 00:02:02,0,0,0,2,2,0 days 0 hours 2 mins 2 secs,00:00:02:02
0 days 00:02:03,0,0,0,2,3,0 days 0 hours 2 mins 3 secs,00:00:02:03
0 days 00:02:04,1,0,0,2,4,0 days 0 hours 2 mins 4 secs,00:00:02:04
0 days 00:02:05,1,0,0,2,5,0 days 0 hours 2 mins 5 secs,00:00:02:05
0 days 00:02:06,0,0,0,2,6,0 days 0 hours 2 mins 6 secs,00:00:02:06
0 days 00:02:07,1,0,0,2,7,0 days 0 hours 2 mins 7 secs,00:00:02:07
0 days 00:02:08,1,0,0,2,8,0 days 0 hours 2 mins 8 secs,00:00:02:08
0 days 00:02:09,1,0,0,2,9,0 days 0 hours 2 mins 9 secs,00:00:02:09
0 days 00:02:10,1,0,0,2,10,0 days 0 hours 2 mins 10 secs,00:00:02:10
0 days 00:02:11,1,0,0,2,11,0 days 0 hours 2 mins 11 secs,00:00:02:11
0 days 00:02:12,1,0,0,2,12,0 days 0 hours 2 mins 12 secs,00:00:02:12
0 days 00:02:13,1,0,0,2,13,0 days 0 hours 2 mins 13 secs,00:00:02:13
0 days 00:02:14,0,0,0,2,14,0 days 0 hours 2 mins 14 secs,00:00:02:14
0 days 00:02:15,1,0,0,2,15,0 days 0 hours 2 mins 15 secs,00:00:02:15
0 days 00:02:16,1,0,0,2,16,0 days 0 hours 2 mins 16 secs,00:00:02:16
0 days 00:02:17,1,0,0,2,17,0 days 0 hours 2 mins 17 secs,00:00:02:17
0 days 00:02:18,0,0,0,2,18,0 days 0 hours 2 mins 18 secs,00:00:02:18
0 days 00:02:19,1,0,0,2,19,0 days 0 hours 2 mins 19 secs,00:00:02:19
0 days 00:02:20,0,0,0,2,20,0 days 0 hours 2 mins 20 secs,00:00:02:20
0 days 00:02:21,1,0,0,2,21,0 days 0 hours 2 mins 21 secs,00:00:02:21
0 days 00:02:22,0,0,0,2,22,0 days 0 hours 2 mins 22 secs,00:00:02:22
0 days 00:02:23,0,0,0,2,23,0 days 0 hours 2 mins 23 secs,00:00:02:23
0 days 00:02:24,0,0,0,2,24,0 days 0 hours 2 mins 24 secs,00:00:02:24
0 days 00:02:25,1,0,0,2,25,0 days 0 hours 2 mins 25 secs,00:00:02:25
0 days 00:02:26,1,0,0,2,26,0 days 0 hours 2 mins 26 secs,00:00:02:26
0 days 00:02:27,1,0,0,2,27,0 days 0 hours 2 mins 27 secs,00:00:02:27
0 days 00:02:28,0,0,0,2,28,0 days 0 hours 2 mins 28 secs,00:00:02:28
0 days 00:02:29,0,0,0,2,29,0 days 0 hours 2 mins 29 secs,00:00:02:29
0 days 00:02:30,1,0,0,2,30,0 days 0 hours 2 mins 30 secs,00:00:02:30
0 days 00:02:31,1,0,0,2,31,0 days 0 hours 2 mins 31 secs,00:00:02:31
0 days 00:02:32,0,0,0,2,32,0 days 0 hours 2 mins 32 secs,00:00:02:32
0 days 00:02:33,0,0,0,2,33,0 days 0 hours 2 mins 33 secs,00:00:02:33
0 days 00:02:34,1,0,0,2,34,0 days 0 hours 2 mins 34 secs,00:00:02:34
0 days 00:02:35,1,0,0,2,35,0 days 0 hours 2 mins 35 secs,00:00:02:35
0 days 00:02:36,0,0,0,2,36,0 days 0 hours 2 mins 36 secs,00:00:02:36
0 days 00:02:37,0,0,0,2,37,0 days 0 hours 2 mins 37 secs,00:00:02:37
0 days 00:02:38,0,0,0,2,38,0 days 0 hours 2 mins 38 secs,00:00:02:38
0 days 00:02:39,0,0,0,2,39,0 days 0 hours 2 mins 39 secs,00:00:02:39
0 days 00:02:40,0,0,0,2,40,0 days 0 hours 2 mins 40 secs,00:00:02:40
0 days 00:02:41,1,0,0,2,41,0 days 0 hours 2 mins 41 secs,00:00:02:41
0 days 00:02:42,0,0,0,2,42,0 days 0 hours 2 mins 42 secs,00:00:02:42
0 days 00:02:43,0,0,0,2,43,0 days 0 hours 2 mins 43 secs,00:00:02:43
0 days 00:02:44,0,0,0,2,44,0 days 0 hours 2 mins 44 secs,00:00:02:44
0 days 00:02:45,0,0,0,2,45,0 days 0 hours 2 mins 45 secs,00:00:02:45
0 days 00:02:46,0,0,0,2,46,0 days 0 hours 2 mins 46 secs,00:00:02:46
0 days 00:02:47,0,0,0,2,47,0 days 0 hours 2 mins 47 secs,00:00:02:47
0 days 00:02:48,0,0,0,2,48,0 days 0 hours 2 mins 48 secs,00:00:02:48
0 days 00:02:49,1,0,0,2,49,0 days 0 hours 2 mins 49 secs,00:00:02:49
0 days 00:02:50,1,0,0,2,50,0 days 0 hours 2 mins 50 secs,00:00:02:50
0 days 00:02:51,1,0,0,2,51,0 days 0 hours 2 mins 51 secs,00:00:02:51
0 days 00:02:52,0,0,0,2,52,0 days 0 hours 2 mins 52 secs,00:00:02:52
0 days 00:02:53,0,0,0,2,53,0 days 0 hours 2 mins 53 secs,00:00:02:53
0 days 00:02:54,1,0,0,2,54,0 days 0 hours 2 mins 54 secs,00:00:02:54
0 days 00:02:55,0,0,0,2,55,0 days 0 hours 2 mins 55 secs,00:00:02:55
0 days 00:02:56,0,0,0,2,56,0 days 0 hours 2 mins 56 secs,00:00:02:56
0 days 00:02:57,0,0,0,2,57,0 days 0 hours 2 mins 57 secs,00:00:02:57
0 days 00:02:58,0,0,0,2,58,0 days 0 hours 2 mins 58 secs,00:00:02:58
0 days 00:02:59,1,0,0,2,59,0 days 0 hours 2 mins 59 secs,00:00:02:59
0 days 00:03:00,1,0,0,3,0,0 days 0 hours 3 mins 0 secs,00:00:03:00
0 days 00:03:01,1,0,0,3,1,0 days 0 hours 3 mins 1 secs,00:00:03:01
0 days 00:03:02,1,0,0,3,2,0 days 0 hours 3 mins 2 secs,00:00:03:02
0 days 00:03:03,1,0,0,3,3,0 days 0 hours 3 mins 3 secs,00:00:03:03
0 days 00:03:04,1,0,0,3,4,0 days 0 hours 3 mins 4 secs,00:00:03:04
0 days 00:03:05,0,0,0,3,5,0 days 0 hours 3 mins 5 secs,00:00:03:05
0 days 00:03:06,0,0,0,3,6,0 days 0 hours 3 mins 6 secs,00:00:03:06
0 days 00:03:07,1,0,0,3,7,0 days 0 hours 3 mins 7 secs,00:00:03:07
0 days 00:03:08,0,0,0,3,8,0 days 0 hours 3 mins 8 secs,00:00:03:08
0 days 00:03:09,0,0,0,3,9,0 days 0 hours 3 mins 9 secs,00:00:03:09
0 days 00:03:10,0,0,0,3,10,0 days 0 hours 3 mins 10 secs,00:00:03:10
0 days 00:03:11,0,0,0,3,11,0 days 0 hours 3 mins 11 secs,00:00:03:11
0 days 00:03:12,0,0,0,3,12,0 days 0 hours 3 mins 12 secs,00:00:03:12
0 days 00:03:13,0,0,0,3,13,0 days 0 hours 3 mins 13 secs,00:00:03:13
0 days 00:03:14,0,0,0,3,14,0 days 0 hours 3 mins 14 secs,00:00:03:14
0 days 00:03:15,0,0,0,3,15,0 days 0 hours 3 mins 15 secs,00:00:03:15
0 days 00:03:16,1,0,0,3,16,0 days 0 hours 3 mins 16 secs,00:00:03:16
0 days 00:03:17,1,0,0,3,17,0 days 0 hours 3 mins 17 secs,00:00:03:17
0 days 00:03:18,0,0,0,3,18,0 days 0 hours 3 mins 18 secs,00:00:03:18
0 days 00:03:19,1,0,0,3,19,0 days 0 hours 3 mins 19 secs,00:00:03:19
0 days 00:03:20,0,0,0,3,20,0 days 0 hours 3 mins 20 secs,00:00:03:20
0 days 00:03:21,0,0,0,3,21,0 days 0 hours 3 mins 21 secs,00:00:03:21
0 days 00:03:22,1,0,0,3,22,0 days 0 hours 3 mins 22 secs,00:00:03:22
0 days 00:03:23,1,0,0,3,23,0 days 0 hours 3 mins 23 secs,00:00:03:23
0 days 00:03:24,1,0,0,3,24,0 days 0 hours 3 mins 24 secs,00:00:03:24
0 days 00:03:25,1,0,0,3,25,0 days 0 hours 3 mins 25 secs,00:00:03:25
0 days 00:03:26,1,0,0,3,26,0 days 0 hours 3 mins 26 secs,00:00:03:26
0 days 00:03:27,1,0,0,3,27,0 days 0 hours 3 mins 27 secs,00:00:03:27
0 days 00:03:28,1,0,0,3,28,0 days 0 hours 3 mins 28 secs,00:00:03:28
0 days 00:03:29,1,0,0,3,29,0 days 0 hours 3 mins 29 secs,00:00:03:29
0 days 00:03:30,1,0,0,3,30,0 days 0 hours 3 mins 30 secs,00:00:03:30
0 days 00:03:31,1,0,0,3,31,0 days 0 hours 3 mins 31 secs,00:00:03:31
0 days 00:03:32,1,0,0,3,32,0 days 0 hours 3 mins 32 secs,00:00:03:32
0 days 00:03:33,1,0,0,3,33,0 days 0 hours 3 mins 33 secs,00:00:03:33
0 days 00:03:34,1,0,0,3,34,0 days 0 hours 3 mins 34 secs,00:00:03:34
0 days 00:03:35,1,0,0,3,35,0 days 0 hours 3 mins 35 secs,00:00:03:35
0 days 00:03:36,1,0,0,3,36,0 days 0 hours 3 mins 36 secs,00:00:03:36
0 days 00:03:37,1,0,0,3,37,0 days 0 hours 3 mins 37 secs,00:00:03:37
0 days 00:03:38,1,0,0,3,38,0 days 0 hours 3 mins 38 secs,00:00:03:38
0 days 00:03:39,1,0,0,3,39,0 days 0 hours 3 mins 39 secs,00:00:03:39
0 days 00:03:40,1,0,0,3,40,0 days 0 hours 3 mins 40 secs,00:00:03:40
0 days 00:03:41,1,0,0,3,41,0 days 0 hours 3 mins 41 secs,00:00:03:41
0 days 00:03:42,1,0,0,3,42,0 days 0 hours 3 mins 42 secs,00:00:03:42
0 days 00:03:43,1,0,0,3,43,0 days 0 hours 3 mins 43 secs,00:00:03:43
0 days 00:03:44,1,0,0,3,44,0 days 0 hours 3 mins 44 secs,00:00:03:44
0 days 00:03:45,1,0,0,3,45,0 days 0 hours 3 mins 45 secs,00:00:03:45
0 days 00:03:46,1,0,0,3,46,0 days 0 hours 3 mins 46 secs,00:00:03:46
